Wall time,Step,Value
1540781900,10832,1.784876347
1540781900,10843,1.838367462
1540781900,10852,1.825168967
1540781901,10866,1.943943858
1540781901,10904,1.892333508
1540781901,10907,1.861943364
1540781902,10941,1.886850357
1540781902,10945,1.991567969
1540781902,10968,2.08168602
1540781902,10974,2.047645807
1540781902,10976,2.043465376
1540781903,11010,1.729680777
1540781903,11016,1.800400257
1540781903,11022,1.871326327
1540781903,11024,1.902611017
1540781903,11035,1.822698236
1540781903,11040,1.836851358
1540781904,11054,1.779657125
1540781904,11063,1.8094486
1540781904,11079,1.885930896
1540781904,11104,1.887339711
1540781905,11123,1.822695971
1540781905,11132,1.899696946
1540781905,11150,1.938261509
1540781906,11177,1.846503496
1540781906,11200,1.90662837
1540781906,11202,1.902272344
1540781906,11203,1.843333006
1540781907,11262,1.827420831
1540781907,11265,1.770941854
1540781907,11274,1.700256467
1540781908,11312,1.736114621
1540781908,11343,1.876751065
1540781909,11363,1.866181254
1540781909,11382,1.950980544
1540781910,11413,1.863013029
1540781910,11421,1.736792326
1540781910,11457,1.85644412
1540781911,11474,1.95397234
1540781911,11494,1.915931582
1540781911,11522,1.762832165
1540781911,11525,1.778363943
1540781911,11532,1.964232922
1540781912,11534,1.981550097
1540781912,11551,1.847621322
1540781912,11559,1.804064155
1540781912,11568,1.707404494
1540781912,11583,1.741962552
1540781913,11599,1.773926616
1540781913,11638,1.822913408
1540781913,11650,1.899070382
1540781913,11652,1.871423483
1540781913,11662,1.769078374
1540781914,11673,1.786324501
1540781914,11687,1.959451914
1540781914,11689,1.921285868
1540781914,11706,1.774183154
1540781914,11725,1.925593853
1540781915,11761,1.773007631
1540781915,11788,1.779287457
1540781915,11794,1.625244379
1540781915,11803,1.802338362
1540781916,11833,2.069684029
1540781916,11856,1.92453289
1540781916,11857,1.868043661
1540781917,11875,1.915100098
1540781917,11903,2.069907427
1540781917,11908,1.927305579
1540781918,11935,1.95842576
1540781918,11948,1.761202455
1540781918,11950,1.867677212
1540781918,11951,1.871068478
1540781918,11971,1.767066717
1540781918,11976,1.759498
1540781919,11990,1.737177849
1540781919,12000,1.811192513
1540781919,12005,1.722494841
1540781919,12012,1.909995317
1540781919,12031,1.980558991
1540781920,12043,1.937834263
1540781920,12078,1.938328862
1540781921,12140,1.806038141
1540781922,12155,1.847277164
1540781922,12166,1.799960971
1540781922,12170,1.869986773
1540781922,12186,1.933647871
1540781923,12219,1.712587595
1540781923,12228,1.759210587
1540781923,12272,2.084015131
1540781924,12292,1.926340461
1540781924,12295,1.914781809
1540781924,12311,1.980194569
1540781924,12327,1.871677041
1540781926,12398,2.020953894
1540781926,12407,1.995116591
1540781927,12438,2.055907011
1540781928,12457,1.976418138
1540781928,12460,1.890099049
1540781928,12482,2.045675755
1540781930,12547,1.83106637
1540781930,12555,1.855716705
1540781931,12576,1.809238911
1540781931,12598,1.860203981
1540781932,12627,1.745403051
1540781933,12673,2.008214474
1540781934,12701,1.792043567
1540781935,12760,1.764300585
1540781936,12776,1.895471931
1540781936,12807,1.757291555
1540781936,12815,1.745898962
1540781937,12836,1.953337669
1540781937,12861,1.910239935
1540781937,12866,1.990040898
1540781937,12879,1.813854456
1540781938,12892,1.927961826
1540781938,12898,1.926777244
1540781939,12940,1.771320701
1540781939,12941,1.788280725
1540781939,12961,1.847493052
1540781941,13019,1.661701679
1540781941,13036,1.831308961
1540781942,13063,1.818011403
1540781942,13064,1.855006218
1540781942,13072,1.87312007
1540781942,13084,1.815560102
1540781942,13096,1.819710374
1540781943,13111,1.816766381
1540781943,13115,1.901520848
1540781943,13132,1.931502819
1540781944,13150,1.792517304
1540781944,13168,1.889357924
1540781944,13183,1.868443489
1540781944,13193,1.880224824
1540781944,13196,1.77382493
1540781945,13208,1.793032289
1540781945,13209,1.840871572
1540781945,13213,1.831897855
1540781945,13241,1.713543534
1540781946,13267,1.929525852
1540781947,13300,1.982041717
1540781947,13315,1.839312196
1540781948,13351,1.941337228
1540781950,13404,1.886111379
1540781950,13408,1.9205724
1540781950,13428,1.769330978
1540781951,13477,1.860438347
1540781952,13503,1.735292912
1540781952,13506,1.856994271
1540781953,13548,2.052374125
1540781954,13599,1.727710247
1540781954,13614,1.815560937
1540781954,13622,1.793039203
1540781955,13628,1.756954551
1540781956,13678,1.905938625
1540781956,13681,1.82433784
1540781956,13684,1.848585844
1540781956,13697,1.79762733
1540781957,13724,1.849542975
1540781957,13749,1.930952907
1540781957,13756,1.969802976
1540781958,13778,1.686992168
1540781958,13799,1.928326011
1540781958,13812,1.939950347
1540781959,13847,1.812144637
1540781960,13870,1.981072903
1540781960,13873,1.943533897
1540781960,13886,1.815171003
1540781960,13890,1.775588512
1540781962,13939,1.896552444
1540781962,13940,1.848171473
1540781962,13959,1.82976222
1540781962,13962,1.793730021
1540781963,13971,1.820260167
1540781963,13972,1.845431805
1540781963,13978,1.942459226
1540781963,13998,1.883701086
1540781963,14000,1.885837078
1540781964,14018,1.910667062
1540781965,14082,1.727659822
1540781965,14088,1.844561815
1540781965,14122,1.722629786
1540781966,14163,1.892197609
1540781967,14191,1.806896567
1540781967,14223,1.789884329
1540781967,14229,1.787068248
1540781968,14252,1.837350249
1540781969,14289,1.613843083
1540781969,14290,1.574074626
1540781969,14296,1.677309513
1540781969,14305,1.735262275
1540781970,14322,1.773041129
1540781970,14334,1.746089101
1540781970,14340,1.813771367
1540781971,14360,1.847853422
1540781971,14364,1.776423812
1540781971,14388,1.81894207
1540781971,14399,1.790519834
1540781972,14449,1.861947179
1540781973,14473,1.967817307
1540781973,14496,1.833744526
1540781974,14532,1.845256448
1540781975,14556,1.846109033
1540781975,14558,1.78048718
1540781975,14559,1.758952618
1540781977,14619,1.866846204
1540781977,14634,1.824460387
1540781977,14640,1.931433797
1540781978,14670,2.124371767
1540781978,14679,2.042798281
1540781978,14683,2.034322262
1540781978,14689,1.939924002
1540781978,14705,1.674683213
1540781979,14748,1.822455764
1540781980,14760,2.00384903
1540781980,14781,1.794016838
1540781980,14782,1.762964606
1540781980,14786,1.842879176
1540781980,14790,1.921632409
1540781980,14794,1.879409671
1540781981,14811,1.889269352
1540781981,14817,1.740543842
1540781981,14821,1.734757185
1540781981,14848,1.906016231
1540781982,14875,1.819476962
1540781983,14894,1.827875733
1540781983,14926,1.801635742
1540781983,14927,1.84187746
1540781983,14928,1.840303898
1540781984,14952,1.848347664
1540781984,14966,1.714732766
1540781985,15017,1.857808709
1540781985,15029,1.815449953
1540781987,15092,1.850674152
1540781988,15134,1.877668858
1540781988,15138,1.846740603
1540781988,15182,1.884528756
1540781989,15201,1.831709862
1540781989,15238,1.770117521
1540781990,15268,1.754352331
1540781990,15275,1.927278757
1540781990,15285,1.977472782
1540781991,15303,1.95809269
1540781991,15326,2.042216778
1540781991,15343,1.898600817
1540781991,15349,1.739579201
1540781991,15356,1.789386272
1540781992,15403,2.018512011
1540781992,15408,1.902283669
1540781993,15424,1.797291756
1540781993,15430,1.914326668
1540781993,15440,1.723199844
1540781993,15458,1.782614708
1540781993,15465,1.735671163
1540781994,15475,1.808336973
1540781994,15477,1.761698842
1540781994,15490,1.864637136
1540781994,15509,1.802402854
1540781995,15529,1.791847825
1540781995,15540,1.79692626
1540781997,15587,1.988085032
1540781997,15599,1.956126094
1540781997,15610,1.665102959
1540781998,15674,1.850762367
1540781999,15705,1.835504174
1540782000,15742,1.958141327
1540782000,15766,2.105537891
1540782000,15775,1.961392045
1540782000,15781,2.144535542
1540782000,15796,1.928765893
1540782001,15813,1.958219051
1540782001,15827,1.782277107
1540782001,15830,1.746020079
1540782002,15849,1.774555206
1540782002,15868,1.933368564
1540782004,15948,1.844911456
1540782004,15981,1.812514186
1540782004,15989,1.787597418
1540782004,15995,1.917796493
1540782005,16019,1.812924266
1540782005,16020,1.769632339
1540782005,16027,1.759277701
1540782005,16058,1.831416607
1540782006,16085,1.825358152
1540782006,16097,1.688045502
1540782006,16114,1.786992192
1540782006,16118,1.766953468
1540782007,16177,1.833327174
1540782007,16190,1.758998156
1540782007,16200,1.808265567
1540782007,16204,1.872053146
1540782008,16210,1.841388345
1540782008,16229,1.798246026
1540782008,16251,1.805829406
1540782008,16264,1.938521266
1540782009,16323,1.837887049
1540782010,16345,1.814202189
1540782010,16349,1.892234087
1540782010,16351,1.930992484
1540782010,16352,1.961228132
1540782010,16362,1.975722432
1540782010,16382,1.747421265
1540782011,16408,1.93416369
1540782011,16442,1.862717986
1540782012,16451,1.912563801
1540782013,16507,2.083139658
1540782013,16561,1.797510862
1540782014,16587,1.884624004
1540782014,16592,1.847889423
1540782014,16612,1.985286593
1540782015,16663,2.033589125
1540782015,16667,2.04897666
1540782016,16699,1.982222676
1540782016,16748,1.7981143
1540782017,16768,1.729625225
1540782017,16800,2.040202141
1540782018,16810,1.994723797
1540782018,16811,1.935169339
1540782018,16836,1.837943673
1540782018,16841,1.839908242
